AD,min1,min2,min3,min4
BÜYÜKORHAN,0.5,0.8831,0.9878,0.9386
GEMLİK,0.0032,0.103,0.2265,0.2694
GÜRSU,0.0033,0.3068,0.3466,0.5
HARMANCIK,0.9648,0.915,0.9976,0.9931
KARACABEY,0.0,0.0416,0.1323,0.5
KELES,0.8394,0.974,0.9999,0.9795
KESTEL,0.0001,0.1297,0.36,0.6554
MUDANYA,0.0,0.0305,0.0508,0.1038
MUSTAFAKEMALPAŞA,0.0052,0.1216,0.2637,0.6456
NİLÜFER,0.0097,0.1178,0.5,0.5
ORHANELİ,0.0494,0.3013,0.8765,0.7901
ORHANGAZİ,0.0,0.2591,0.5,0.5
OSMANGAZİ,0.0036,0.213,0.363,0.5
YENİŞEHİR,0.2154,0.9983,0.9994,0.9999
YILDIRIM,0.0,0.12,0.3379,0.3349
İNEGÖL,0.1981,0.5,0.8654,0.9235
İZNİK,0.0,0.1117,0.1643,0.3645
