AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0009,0.0001,0.0016,0.0211
GEMLİK,0.0,0.0002,0.0001,0.0
GÜRSU,0.0,0.0007,0.0,0.0
HARMANCIK,0.0025,0.0005,0.0001,0.0221
KARACABEY,0.0,0.0,0.0,0.0
KELES,0.0002,0.0061,0.0043,0.0212
KESTEL,0.0,0.0002,0.0002,0.0
MUDANYA,0.0,0.0,0.0,0.0
MUSTAFAKEMALPAŞA,0.0,0.0,0.0,0.0
NİLÜFER,0.0,0.0004,0.0,0.0
ORHANELİ,0.0,0.0,0.0016,0.01
ORHANGAZİ,0.0028,0.0,0.0002,0.0003
OSMANGAZİ,0.0,0.0017,0.0,0.0008
YENİŞEHİR,0.0004,0.0005,0.001,0.019
YILDIRIM,0.0,0.0002,0.0,0.0
İNEGÖL,0.0,0.0008,0.0,0.0005
İZNİK,0.0,0.0018,0.0,0.0
