AD,min1,min2,min3,min4
BÜYÜKORHAN,0.9987,0.9681,0.9305,0.838
GEMLİK,0.0332,0.0897,0.3333,0.2798
GÜRSU,0.0901,0.2856,0.5,0.3728
HARMANCIK,0.9991,0.7689,0.9626,0.8086
KARACABEY,0.0,0.0289,0.0331,0.7722
KELES,0.9944,0.9925,0.9973,0.9799
KESTEL,0.5,0.5,0.644,0.3608
MUDANYA,0.0,0.024,0.1305,0.1346
MUSTAFAKEMALPAŞA,0.0312,0.0312,0.2682,0.7893
NİLÜFER,0.0456,0.5,0.6709,0.6175
ORHANELİ,0.9492,0.7105,0.6635,0.7472
ORHANGAZİ,0.0,0.2598,0.6893,0.5
OSMANGAZİ,0.015,0.5,0.5,0.3788
YENİŞEHİR,0.9949,1.0,0.94,0.9956
YILDIRIM,0.0879,0.2704,0.5,0.2298
İNEGÖL,0.5,0.5,0.8413,0.8748
İZNİK,0.0,0.107,0.3291,0.3694
