AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0016,0.0002,0.0036,0.0485
GEMLİK,0.0,0.0003,0.0001,0.0
GÜRSU,0.0,0.001,0.0,0.0001
HARMANCIK,0.0061,0.001,0.0011,0.0625
KARACABEY,0.0,0.0,0.0,0.0002
KELES,0.0004,0.0161,0.0087,0.0371
KESTEL,0.0,0.0003,0.0003,0.0
MUDANYA,0.0,0.0,0.0,0.0
MUSTAFAKEMALPAŞA,0.0,0.0,0.0001,0.0
NİLÜFER,0.0,0.0006,0.0,0.0
ORHANELİ,0.0001,0.0,0.0024,0.0136
ORHANGAZİ,0.0033,0.0001,0.0003,0.0009
OSMANGAZİ,0.0,0.0021,0.0,0.0015
YENİŞEHİR,0.0059,0.0012,0.0048,0.046
YILDIRIM,0.0,0.0003,0.0,0.0
İNEGÖL,0.0,0.0011,0.0,0.0015
İZNİK,0.0,0.0022,0.0,0.0
