province,agricultural_area
ADANA,271973.00
ADIYAMAN,38737.00
AFYONKARAHİSAR,84800.00
AĞRI,6361.00
AKSARAY,118850.00
AMASYA,113764.00
ANKARA,379088.00
ANTALYA,434550.00
ARDAHAN,219.00
ARTVİN,9806.00
AYDIN,67534.00
BALIKESİR,236325.00
BARTIN,16875.00
BATMAN,30446.00
BAYBURT,2971.00
BİLECİK,52832.00
BİNGÖL,13526.00
BİTLİS,46756.00
BOLU,5256.00
BURDUR,57309.00
BURSA,403663.00
ÇANAKKALE,188429.00
ÇANKIRI,44952.00
ÇORUM,153243.00
DENİZLİ,138918.00
DİYARBAKIR,104048.00
DÜZCE,9286.00
EDİRNE,38736.00
ELAZIĞ,78825.00
ERZİNCAN,19988.00
ERZURUM,11660.00
ESKİŞEHİR,148667.00
GAZİANTEP,150625.00
GİRESUN,24234.00
GÜMÜŞHANE,4676.00
HAKKARİ,6898.00
HATAY,237396.00
IĞDIR,32402.00
ISPARTA,32322.00
İSTANBUL,25835.00
İZMİR,353914.00
KAHRAMANMARAŞ,79399.00
KARABÜK,7491.00
KARAMAN,11154.00
KARS,185.00
KASTAMONU,44258.00
KAYSERİ,367373.00
KİLİS,51738.00
KIRIKKALE,17655.00
KIRKLARELİ,14122.00
KIRŞEHİR,14929.00
KOCAELİ,26879.00
KONYA,407130.00
KÜTAHYA,52237.00
MALATYA,36420.00
MANİSA,334388.00
MARDİN,104112.00
MERSİN,23931.00
MUĞLA,76411.00
MUŞ,64452.00
NEVŞEHİR,243185.00
NİĞDE,109921.00
ORDU,13779.00
OSMANİYE,73570.00
RİZE,2832.00
SAKARYA,49120.00
SAMSUN,116668.00
ŞANLIURFA,138583.00
SİİRT,9819.00
SİNOP,16345.00
SİVAS,10753.00
ŞIRNAK,35641.00
TEKİRDAĞ,25044.00
TOKAT,128834.00
TRABZON,24768.00
TUNCELİ,4505.00
UŞAK,67430.00
VAN,27313.00
YALOVA,4672.00
YOZGAT,35581.00
ZONGULDAK,22149.00
